Epochs    TL                  TA                  VL                  VA                  Time                
41        0.501682273237      0.813333333333      0.503082958032      0.933333333333      0.0012891292572     
42        0.488768681419      0.92                0.499137146311      0.906666666667      0.00114703178406    
43        0.484670065701      0.92                0.495404635778      0.906666666667      0.00129508972168    
44        0.486081927219      0.866666666667      0.492524158703      0.946666666667      0.00147914886475    
45        0.482033700763      0.92                0.488274065288      0.933333333333      0.0010941028595     
46        0.47470780178       0.92                0.484692263955      0.933333333333      0.000859022140503   
47        0.47300259137       0.946666666667      0.482043528251      0.866666666667      0.000827074050903   
48        0.471886338537      0.8                 0.478455391246      0.946666666667      0.00101900100708    
49        0.468249590386      0.946666666667      0.474670311541      0.933333333333      0.000820159912109   
50        0.460589695041      0.92                0.471455211648      0.92                0.00080418586731    
51        0.460527230584      0.866666666667      0.469241694419      0.946666666667      0.00080394744873    
52        0.456490645167      0.973333333333      0.465350164966      0.933333333333      0.000811815261841   
53        0.454704037011      0.906666666667      0.462266054253      0.933333333333      0.00160694122314    
54        0.458986595923      0.88                0.459321567214      0.946666666667      0.00146198272705    
55        0.4464084017        0.933333333333      0.456450396838      0.933333333333      0.000890016555786   
56        0.448211558728      0.946666666667      0.453558362201      0.933333333333      0.000847101211548   
57        0.448258097481      0.933333333333      0.451478135525      0.893333333333      0.000815153121948   
58        0.442847904497      0.866666666667      0.449225952084      0.973333333333      0.000917911529541   
59        0.445165750508      0.946666666667      0.445765924574      0.906666666667      0.00081205368042    
60        0.434528231984      0.946666666667      0.443190485759      0.906666666667      0.000925064086914   
61        0.432348983165      0.866666666667      0.440611120242      0.946666666667      0.000816106796265   
62        0.429345476711      0.946666666667      0.437885066042      0.946666666667      0.000806093215942   
63        0.454198758218      0.84                0.439535065828      0.946666666667      0.00105690956116    
64        0.426586955931      0.973333333333      0.432810931596      0.933333333333      0.000811100006104   
65        0.421582616159      0.893333333333      0.430265874815      0.946666666667      0.000807046890259   
66        0.419742602537      0.946666666667      0.427943213026      0.933333333333      0.00089693069458    
67        0.414830874258      0.92                0.425405493589      0.946666666667      0.000897884368896   
68        0.4130635853        0.92                0.42323085147       0.946666666667      0.000827074050903   
69        0.416416546025      0.933333333333      0.420843149981      0.946666666667      0.000825881958008   
70        0.412341412134      0.92                0.419202982439      0.92                0.000808000564575   
71        0.413078609698      0.933333333333      0.41780759548       0.906666666667      0.000801086425781   
72        0.413879725622      0.933333333333      0.416963952968      0.893333333333      0.000801801681519   
73        0.409606902906      0.893333333333      0.41203879922       0.946666666667      0.00098991394043    
74        0.399823768039      0.92                0.41005207562       0.96                0.00147008895874    
75        0.402119093554      0.96                0.407852379976      0.946666666667      0.000908136367798   
76        0.396956788276      0.92                0.405615314186      0.946666666667      0.000838041305542   
77        0.393210609174      0.973333333333      0.403572815836      0.946666666667      0.000977039337158   
78        0.393246745595      0.933333333333      0.402644718666      0.933333333333      0.00154590606689    
79        0.399424513097      0.866666666667      0.399531086616      0.946666666667      0.0014169216156     
80        0.387716553409      0.946666666667      0.3976885241        0.96                0.00104403495789    
81        0.388180592405      0.946666666667      0.395450531106      0.946666666667      0.00110793113708    
82        0.386200773889      0.96                0.395001421386      0.933333333333      0.00101113319397    
83        0.383857032393      0.92                0.391968788517      0.946666666667      0.000824928283691   
84        0.381226398066      0.946666666667      0.390791720863      0.933333333333      0.000822067260742   
85        0.380946229885      0.906666666667      0.388653273148      0.973333333333      0.000813007354736   
86        0.376449156893      0.96                0.385886429155      0.946666666667      0.00084400177002    
87        0.376228966763      0.96                0.384448845705      0.946666666667      0.000932931900024   
88        0.372951864843      0.96                0.382365726947      0.946666666667      0.00115299224854    
89        0.376635204576      0.96                0.382706264551      0.92                0.001384973526      
90        0.370344917963      0.933333333333      0.379066487076      0.946666666667      0.000920057296753   
91        0.366664143226      0.92                0.377165613906      0.973333333333      0.0010769367218     
92        0.367136031326      0.96                0.375107675743      0.96                0.000822067260742   
93        0.362208428689      0.96                0.373276072462      0.946666666667      0.000823020935059   
94        0.36146879604       0.96                0.371647333756      0.973333333333      0.000817060470581   
95        0.367346309222      0.946666666667      0.371854507072      0.96                0.000811815261841   
96        0.360186695598      0.973333333333      0.368161731348      0.946666666667      0.000802040100098   
97        0.359268429124      0.933333333333      0.366450840576      0.96                0.000947952270508   
98        0.355067714338      0.96                0.364882852365      0.973333333333      0.000982999801636   
99        0.35234199749       0.973333333333      0.363254171675      0.946666666667      0.000820159912109   
100       0.35071827594       0.933333333333      0.361666659039      0.973333333333      0.00124216079712    
101       0.348872073012      0.973333333333      0.359834103778      0.946666666667      0.0014328956604     
102       0.352304725536      0.973333333333      0.35903166252       0.946666666667      0.00139999389648    
103       0.347294175502      0.92                0.356654634772      0.973333333333      0.0012309551239     
104       0.351790348889      0.96                0.355162064063      0.946666666667      0.00117611885071    
105       0.342321280994      0.96                0.35345558528       0.96                0.00116491317749    
106       0.341365788635      0.973333333333      0.351920266711      0.946666666667      0.000825881958008   
107       0.339846948599      0.973333333333      0.35053996581       0.946666666667      0.00114107131958    
108       0.340064331846      0.946666666667      0.348762048509      0.96                0.001305103302      
109       0.338193027638      0.933333333333      0.348163079258      0.973333333333      0.0011510848999     
110       0.334924522986      0.973333333333      0.345708110964      0.96                0.000823020935059   
111       0.333163366487      0.96                0.344231411428      0.973333333333      0.000808954238892   
112       0.334271085535      0.946666666667      0.343442310749      0.973333333333      0.00080418586731    
113       0.331530360455      0.973333333333      0.341260405985      0.973333333333      0.000804901123047   
114       0.33485373658       0.933333333333      0.339828891844      0.973333333333      0.000801801681519   
115       0.329515799022      0.973333333333      0.338836229066      0.973333333333      0.000802993774414   
116       0.329457986144      0.946666666667      0.339228993317      0.946666666667      0.000789880752563   
117       0.325079685857      0.933333333333      0.335502402834      0.96                0.000791072845459   
118       0.323641685257      0.96                0.334285762901      0.946666666667      0.00112104415894    
119       0.321807357357      0.96                0.33262924031       0.973333333333      0.000941038131714   
120       0.321364710878      0.973333333333      0.33138756948       0.946666666667      0.00081205368042    
121       0.319471067034      0.973333333333      0.330401570509      0.946666666667      0.00115013122559    
122       0.319268261344      0.96                0.329316056887      0.973333333333      0.00134301185608    
123       0.317587116125      0.973333333333      0.327572090625      0.973333333333      0.0013370513916     
124       0.317877255883      0.96                0.32600917976       0.973333333333      0.00115990638733    
125       0.315775709841      0.973333333333      0.325101811085      0.973333333333      0.000799179077148   
126       0.315547483623      0.973333333333      0.323076764105      0.973333333333      0.00112986564636    
127       0.311503458972      0.96                0.321944747651      0.973333333333      0.0014111995697     
128       0.324328270226      0.946666666667      0.321039962923      0.973333333333      0.00148105621338    
129       0.310722735141      0.973333333333      0.319381515997      0.946666666667      0.00124621391296    
130       0.327175105623      0.906666666667      0.318573953346      0.946666666667      0.00123906135559    
131       0.329451323724      0.92                0.318853660531      0.946666666667      0.00117206573486    
132       0.315674161317      0.96                0.318685276032      0.946666666667      0.000829935073853   
133       0.303968975302      0.933333333333      0.31398391183       0.973333333333      0.000818014144897   
134       0.301821634363      0.973333333333      0.312970442922      0.946666666667      0.000811100006104   
135       0.304892158977      0.946666666667      0.311507667441      0.973333333333      0.000808954238892   
136       0.306383122399      0.986666666667      0.31168658239       0.946666666667      0.00109887123108    
137       0.301860824086      0.96                0.310879078739      0.946666666667      0.00143790245056    
138       0.301414779512      0.946666666667      0.308965121576      0.973333333333      0.00130200386047    
139       0.298475334601      0.973333333333      0.306425391457      0.973333333333      0.00125098228455    
140       0.295741456395      0.986666666667      0.305843169792      0.946666666667      0.00141882896423    
141       0.298119842006      0.933333333333      0.305826864344      0.96                0.00130105018616    
142       0.293520116543      0.973333333333      0.302825600564      0.973333333333      0.00112700462341    
143       0.296464573854      0.946666666667      0.303290412381      0.96                0.000889778137207   
144       0.297744621098      0.96                0.303227232897      0.946666666667      0.00132989883423    
145       0.288725420962      1.0                 0.299346078479      0.973333333333      0.00137615203857    
146       0.286819934558      0.973333333333      0.298285770411      0.973333333333      0.0014169216156     
147       0.29293545039       0.973333333333      0.29877830048       0.946666666667      0.00132918357849    
148       0.292247146666      0.96                0.29667863517       0.946666666667      0.00133085250854    
